topk,Triton [FP16],Flash-2
0.000000,0.609882,182.712326
5.000000,7.470251,181.727234
10.000000,13.388361,182.735870
15.000000,19.318171,182.883331
20.000000,25.143297,183.148544
25.000000,30.954836,183.044098
30.000000,36.680702,183.376892
35.000000,42.361855,183.469055
40.000000,47.959549,183.317505
45.000000,53.743614,183.324677
50.000000,59.042816,186.002426
55.000000,64.488449,187.897858
60.000000,69.820419,187.100159
65.000000,75.197441,189.021179
70.000000,80.464897,188.979202
75.000000,85.668861,188.792831
80.000000,90.768387,186.564606
85.000000,96.644096,186.655746
90.000000,102.065155,187.061249
95.000000,106.458115,186.275833
100.000000,111.452164,186.369019
105.000000,118.206467,186.553345
110.000000,124.175362,186.206207
115.000000,129.480698,185.374725
120.000000,132.094971,185.992188
125.000000,137.612289,185.798660
130.000000,141.262848,186.000381
135.000000,144.251907,185.946106
140.000000,148.732925,186.418182
